metal,production_route,year,region,application,energy_mix,transport_mode,transport_distance_km,gwp_kg_co2_per_kg,energy_mj_per_kg,global_recycling_rate_pct,recycled_content_pct,water_use_l_per_kg,so2_kg_per_kg,eol_recovery_pct,typical_lifespan_years,reuse_potential_score,unit_price_usd_per_kg,circularity_index,material_efficiency_score,end_of_life_scenario,carbon_intensity_category,transport_gwp_kg_co2_per_kg,route_type,life_cycle_stage,upstream_gwp_kg_co2,downstream_gwp_kg_co2,pathway_type,circular_flow_type,emission_reduction_vs_primary_pct,benchmark_gwp_for_metal,process_temperature_celsius,batch_size_tonnes,facility_age_years,waste_generated_kg_per_kg,co2_capture_used,acidification_potential,eutrophication_potential,human_toxicity_score,abiotic_depletion_score,data_completeness_score,recommended_action
Gallium,Primary - Zinc Byproduct,2015,Chile,5G Semiconductors,Nuclear Grid,Air Freight,697.9,116.9429,9826.668,16.3,7.28,4357.62,0.539,14.71,8.0,1,286.75,12.32,0.769,Remanufacturing,Very High,0.20546,Primary,Manufacturing,65.9758,50.9671,Hybrid,Closed Loop,77.94,530,887,139.6,32,1.8367,No,0.62614,0.04413,1.441,0.03653,0.76,Increase recycled content in feedstock
Nickel,Primary - Laterite (HPAL),2013,DRC,Stainless Steel,Mixed Grid (Global Avg),Sea Freight,4917.0,9.0106,119.978,71.19,5.07,290.91,0.0347,66.1,18.7,2,20.81,47.26,0.556,Reuse,Medium,0.59288,Primary,Use,5.299,3.7116,Hybrid,Closed Loop,30.69,13.0,598,329.7,23,3.6119,No,0.04275,0.0028,1.634,0.09696,0.58,Increase recycled content in feedstock
Lead,Secondary - Mixed Scrap,2024,DRC,Ammunition,Mixed Grid (EU),Combined (Road+Sea),4131.6,1.4089,9.031,98.12,74.53,31.69,0.0012,94.78,13.9,5,1.94,81.43,0.765,Open Loop Recycling,Low,1.03021,Secondary,Manufacturing,1.0005,0.4084,Hybrid,Open Loop,17.12,1.7,311,124.7,13,4.5677,No,0.00121,0.014,0.6253,0.1385,0.75,Maintain current circular practices; explore renewable energy
Germanium,Primary - Zinc Smelter Byproduct,2022,South Africa,IR Optics,Natural Gas Grid,Rail,1658.7,770.4049,15061.687,32.52,2.78,11351.59,1.3871,31.36,17.4,3,983.01,23.6,0.556,Closed Loop Recycling,Very High,0.1657,Primary,End-of-Life,438.8086,331.5963,Hybrid,Closed Loop,39.81,1280,1507,418.1,6,7.8756,No,1.22503,0.02433,0.5352,0.06022,0.58,Increase recycled content in feedstock
Indium,Primary - Lead-Zinc Byproduct,2010,Peru,Flat Panel Displays (ITO),Hydro-dominated Grid,Road,156.2,39.3278,2468.01,30.99,3.56,1366.73,0.1851,28.53,12.9,3,252.91,22.37,0.796,Remanufacturing,High,0.01613,Primary,Use,21.6472,17.6806,Hybrid,Closed Loop,76.45,167,1199,133.0,30,2.4389,Partial,0.23668,0.04977,1.3899,0.10779,0.62,Increase recycled content in feedstock
Lithium,Secondary - Battery Recycling,2016,India,EV Batteries,Renewable Grid,Road,110.9,0.4445,48.03,4.14,2.45,191.69,0.0079,36.56,9.8,1,69.45,13.66,0.779,Landfill,Low,0.03082,Secondary,Manufacturing,0.2638,0.1807,Hybrid,Linear,94.44,8.0,259,289.8,35,0.5369,No,0.00655,0.02925,1.2576,0.12792,0.62,Implement end-of-life collection and recycling programme
Steel,Blast Furnace - BOF,2023,Global Average,Infrastructure,Mixed Grid (China),Combined (Road+Sea),1221.6,2.4427,18.061,91.53,7.33,28.47,0.0041,85.52,77.6,5,0.96,62.91,0.781,Open Loop Recycling,Medium,0.16667,Primary,End-of-Life,1.3826,1.0601,Conventional,Open Loop,-28.56,1.9,780,34.7,5,5.7458,No,0.00411,0.04709,1.4246,0.08688,0.57,Increase recycled content in feedstock
Titanium,Kroll Process (Rutile),2020,Russia,Aerospace,Mixed Grid (India),Road,214.3,30.6658,363.763,31.28,3.38,479.85,0.0406,21.25,36.0,2,17.15,19.5,0.921,Open Loop Recycling,High,0.05666,Primary,Extraction,19.4374,11.2284,Conventional,Open Loop,12.38,35,1595,282.8,21,7.9463,No,0.04608,0.01578,0.6648,0.01972,0.84,Increase recycled content in feedstock
Cobalt,Primary - DRC Mining (Byproduct),2024,Russia,EV Batteries,Renewable Grid,Rail,1351.9,1.4687,135.347,62.13,7.98,266.74,0.0103,63.88,10.0,4,27.26,45.51,0.867,Incineration,Low,0.25152,Primary,Use,0.9007,0.568,Conventional,Linear,82.72,8.5,548,5.2,40,8.4869,No,0.00862,0.01074,0.6637,0.14,0.95,Increase recycled content in feedstock
Indium,Primary - Lead-Zinc Byproduct,2022,Canada,Flat Panel Displays (ITO),Renewable Grid,Sea Freight,4809.9,20.8798,2602.764,30.39,5.57,1594.15,0.2457,25.34,17.9,3,240.93,21.6,0.684,Incineration,High,0.38808,Primary,Processing,13.027,7.8528,Conventional,Linear,87.5,167,723,219.4,35,5.986,Yes,0.31743,0.04037,1.3228,0.10021,0.8,Increase recycled content in feedstock
Gold,Secondary - Jewellery Recycling,2011,Brazil,Aerospace,Mixed Grid (EU),Air Freight,858.6,22.474,1461.589,29.51,14.72,638.06,0.0022,23.58,95.3,4,63987.56,23.35,0.886,Remanufacturing,High,0.219,Secondary,Extraction,16.581,5.893,Circular,Closed Loop,99.86,16000,337,132.6,7,6.3157,No,0.00206,0.03028,1.7943,0.03062,0.84,Maintain current circular practices; explore renewable energy
Nickel,Primary - Laterite (Smelting),2012,Chile,EV Batteries,Natural Gas Grid,Pipeline,694.8,11.5488,221.989,72.48,6.01,481.53,0.0282,59.25,15.9,2,19.48,45.84,0.568,Incineration,High,0.07334,Primary,Manufacturing,7.5192,4.0296,Conventional,Linear,11.16,13.0,914,452.7,4,0.8027,No,0.03425,0.0023,0.8346,0.01971,0.99,Increase recycled content in feedstock
Chromium,Secondary - Stainless Steel Scrap,2010,Brazil,Surface Coating,Mixed Grid (China),Air Freight,1072.1,2.2662,23.528,26.25,18.44,36.94,0.0054,34.59,26.4,2,12.46,24.75,0.669,Closed Loop Recycling,Medium,0.12835,Secondary,Processing,1.5824,0.6838,Circular,Closed Loop,81.87,12.5,764,353.0,36,0.102,No,0.00687,0.03458,0.3735,0.0055,0.72,Reduce material losses in processing
Magnesium,Secondary - Die-Cast Recycling,2010,China,Electronics,Mixed Grid (India),Road,331.2,0.8424,22.256,40.37,34.23,103.09,0.0073,35.41,14.0,3,3.83,33.85,0.766,Open Loop Recycling,Low,0.0354,Secondary,End-of-Life,0.4883,0.3541,Hybrid,Open Loop,93.98,14.0,330,21.4,24,7.6434,No,0.00912,0.01058,0.6246,0.01551,0.9,Maintain current circular practices; explore renewable energy
Platinum,Primary Mining (Russia),2010,Brazil,Catalysts (Auto),Nuclear Grid,Road,134.4,2579.5549,259767.168,65.51,3.74,135715.16,5.4148,67.57,33.3,5,34813.63,47.7,0.669,Open Loop Recycling,Very High,0.01528,Primary,Use,1921.1684,658.3865,Conventional,Open Loop,79.69,12700,716,462.9,16,7.3519,No,6.71819,0.00134,1.8417,0.04989,0.97,Increase recycled content in feedstock
Gallium,Primary - Zinc Byproduct,2010,Europe,LEDs,Mixed Grid (India),Rail,1401.9,528.7254,6843.66,17.46,5.2,3890.1,1.0364,20.68,13.6,2,184.05,14.85,0.602,Urban Mining,Very High,0.10835,Primary,Processing,319.0124,209.713,Conventional,Open Loop,0.24,530,621,191.6,3,7.3009,No,0.93254,0.04593,0.8748,0.1231,0.94,Increase recycled content in feedstock
Zinc,Secondary - Recycled Scrap,2015,Chile,Die Casting,Mixed Grid (China),Combined (Road+Sea),4859.8,2.1904,10.211,78.13,45.95,66.63,0.0016,78.15,26.1,3,2.56,62.23,0.605,Urban Mining,Medium,0.74583,Secondary,Processing,1.2151,0.9753,Hybrid,Open Loop,29.34,3.1,397,199.5,18,7.3497,No,0.00156,0.02552,1.6991,0.12656,0.7,Reduce material losses in processing
Magnesium,Secondary - Wrought Recycling,2020,Brazil,Sports Equipment,Coal Grid,Pipeline,863.3,2.1999,28.609,46.8,32.46,100.49,0.0112,40.98,10.7,4,3.69,38.17,0.687,Incineration,Medium,0.11387,Secondary,Extraction,1.2607,0.9392,Hybrid,Linear,84.29,14.0,467,89.7,17,0.3444,Yes,0.01139,0.03645,0.7849,0.09097,0.78,Transition to closed-loop recycling pathway
Steel,Direct Reduced Iron (DRI),2012,Central Asia,Automotive,Coal Grid,Pipeline,580.7,1.5278,24.016,83.13,1.51,27.47,0.0078,90.14,68.5,5,0.78,60.19,0.706,Remanufacturing,Low,0.07002,Primary,Use,1.1151,0.4127,Hybrid,Closed Loop,19.59,1.9,789,127.7,28,0.0343,Yes,0.00892,0.04702,1.8429,0.02964,0.74,Increase recycled content in feedstock
Aluminium,Secondary - Recycled Scrap,2022,Indonesia,Packaging,Hydro-dominated Grid,Pipeline,357.8,0.2182,12.529,81.95,35.77,259.12,0.0068,74.38,17.7,3,1.85,60.4,0.717,Open Loop Recycling,Low,0.09441,Secondary,Manufacturing,0.1472,0.071,Hybrid,Open Loop,98.1,11.5,879,424.1,20,4.3204,Partial,0.00683,0.02018,0.7398,0.01918,0.74,Maintain current circular practices; explore renewable energy
Gold,Open Pit Mining,2020,DRC,Medical Devices,Mixed Grid (India),Sea Freight,3419.3,13604.063,279270.726,28.81,8.73,268908.0,0.9014,23.26,130.4,4,63693.74,21.81,0.923,Incineration,Very High,0.62855,Primary,Use,9325.0898,4278.9732,Conventional,Linear,14.97,16000,756,307.9,20,3.4635,No,0.85808,0.01059,1.9646,0.09104,0.7,Increase recycled content in feedstock
Magnesium,Pidgeon Process (Coal),2023,Indonesia,Aerospace,Renewable Grid,Pipeline,501.8,2.2968,149.595,38.19,9.34,374.99,0.0826,40.23,10.2,4,2.16,30.3,0.925,Urban Mining,Medium,0.03488,Primary,Use,1.4664,0.8304,Conventional,Open Loop,83.59,14.0,837,255.8,11,5.6071,No,0.08737,0.03168,0.8386,0.12278,0.89,Increase recycled content in feedstock
Steel,Direct Reduced Iron (DRI),2017,Australia,Infrastructure,Hydro-dominated Grid,Pipeline,106.4,0.5468,24.737,91.73,1.97,45.1,0.005,81.01,37.6,4,0.58,59.8,0.768,Landfill,Low,0.01983,Primary,Manufacturing,0.3253,0.2215,Conventional,Linear,71.22,1.9,807,74.1,3,2.0963,No,0.00553,0.03845,1.1391,0.13293,0.81,Increase recycled content in feedstock
Nickel,Primary - Laterite (Smelting),2021,Southeast Asia,Superalloys,Renewable Grid,Air Freight,2584.7,2.1263,168.872,71.02,8.91,323.14,0.0101,64.71,21.1,2,18.48,47.55,0.851,Closed Loop Recycling,Medium,0.22166,Primary,Use,1.3797,0.7466,Hybrid,Closed Loop,83.64,13.0,899,74.2,45,0.067,No,0.01201,0.01102,2.0105,0.10442,0.76,Increase recycled content in feedstock
Magnesium,Secondary - Die-Cast Recycling,2011,Kazakhstan,Sports Equipment,Coal Grid,Combined (Road+Sea),4862.4,1.6157,19.409,45.49,33.5,109.63,0.0062,42.49,19.8,3,2.52,37.62,0.713,Reuse,Low,0.47458,Secondary,End-of-Life,0.9692,0.6465,Circular,Closed Loop,88.46,14.0,324,228.5,30,5.6811,Yes,0.00681,0.04751,2.2287,0.09194,0.87,Maintain current circular practices; explore renewable energy
Manganese,Secondary - Steel Scrap Byproduct,2021,Australia,Fertilizers,Natural Gas Grid,Pipeline,815.2,0.5381,9.243,54.33,16.57,39.23,0.0004,47.64,22.1,4,1.7,39.62,0.553,Open Loop Recycling,Low,0.21049,Secondary,End-of-Life,0.3419,0.1962,Hybrid,Open Loop,58.61,1.3,761,223.2,11,6.3262,No,0.00041,0.03761,2.0998,0.04167,0.9,Reduce material losses in processing
Zinc,Primary - Roast-Leach-Electrowin,2017,DRC,Chemicals,Renewable Grid,Combined (Road+Sea),1744.6,0.4176,62.955,77.04,6.54,153.19,0.0083,83.64,29.6,4,2.91,56.36,0.828,Incineration,Low,0.09039,Primary,Use,0.282,0.1356,Conventional,Linear,86.53,3.1,962,220.2,19,2.0085,No,0.00797,0.02705,0.3468,0.03477,0.86,Increase recycled content in feedstock
Tin,Secondary - Tinplate Recycling,2013,Central Asia,Tinplate,Mixed Grid (Global Avg),Air Freight,1823.4,1.6126,37.607,74.89,37.33,124.16,0.0059,73.37,8.1,3,30.77,57.94,0.674,Landfill,Low,0.41467,Secondary,Processing,0.9076,0.705,Hybrid,Linear,89.92,16.0,617,165.8,30,3.5458,No,0.00718,0.01953,1.9247,0.14191,0.56,Implement end-of-life collection and recycling programme
Tin,Primary - Hard Rock Mining,2014,Europe,Bronze Alloys,Natural Gas Grid,Pipeline,329.9,11.6158,143.804,66.81,2.7,365.32,0.0376,73.5,12.5,4,28.64,48.97,0.681,Remanufacturing,High,0.05055,Primary,End-of-Life,7.2724,4.3434,Hybrid,Closed Loop,27.4,16.0,412,471.4,20,6.4095,No,0.0402,0.03676,1.9999,0.13468,0.77,Increase recycled content in feedstock
Cobalt,Primary - Standalone Mining,2010,South Africa,Magnets,Mixed Grid (EU),Rail,1783.4,3.8547,105.851,67.7,9.96,384.67,0.008,59.42,15.6,4,45.24,46.51,0.623,Open Loop Recycling,Medium,0.21305,Primary,Manufacturing,2.4561,1.3986,Conventional,Open Loop,54.65,8.5,459,194.7,43,5.7791,No,0.0093,0.04204,2.2989,0.14711,0.79,Increase recycled content in feedstock
Magnesium,Secondary - Wrought Recycling,2015,Chile,Automotive (Lightweighting),Coal Grid,Road,265.3,1.3405,19.588,44.22,31.92,115.16,0.012,51.24,12.5,3,3.26,39.48,0.593,Urban Mining,Low,0.06981,Secondary,Use,0.896,0.4445,Hybrid,Open Loop,90.42,14.0,878,14.0,42,3.6546,No,0.01069,0.01308,0.8191,0.06826,0.7,Reduce material losses in processing
Indium,Primary - Zinc Byproduct,2011,DRC,Flat Panel Displays (ITO),Hydro-dominated Grid,Combined (Road+Sea),2408.4,55.8725,2716.941,35.38,2.74,1164.16,0.4174,33.54,8.5,2,165.04,24.49,0.613,Closed Loop Recycling,High,0.65915,Primary,Use,33.8393,22.0332,Hybrid,Closed Loop,66.54,167,1263,126.5,6,4.0082,Partial,0.4465,0.05,0.8756,0.09756,0.9,Increase recycled content in feedstock
Steel,Electric Arc Furnace (EAF),2022,South Africa,Appliances,Hydro-dominated Grid,Pipeline,664.0,0.7039,17.449,82.9,1.31,54.79,0.0076,80.6,38.3,4,0.68,56.46,0.628,Closed Loop Recycling,Low,0.09813,Primary,Extraction,0.4933,0.2106,Hybrid,Closed Loop,62.95,1.9,906,100.1,2,5.2889,No,0.00656,0.03351,1.4104,0.03277,0.86,Increase recycled content in feedstock
Chromium,Primary - Ferrochrome (South Africa),2018,China,Surface Coating,Natural Gas Grid,Rail,1499.4,7.9549,112.959,32.6,8.14,167.8,0.0237,37.86,31.8,4,8.85,27.4,0.657,Remanufacturing,Medium,0.33071,Primary,Manufacturing,4.6421,3.3128,Hybrid,Closed Loop,36.36,12.5,634,389.0,11,8.2008,No,0.02582,0.04645,1.4399,0.13621,0.72,Increase recycled content in feedstock
Zinc,Primary - Imperial Smelting,2022,Global Average,Chemicals,Mixed Grid (India),Rail,1444.3,3.8481,61.625,85.22,2.83,204.56,0.0109,77.48,22.9,4,3.32,56.64,0.58,Open Loop Recycling,Medium,0.3163,Primary,Processing,2.1749,1.6732,Conventional,Open Loop,-24.13,3.1,897,51.4,20,7.2305,Yes,0.01311,0.03983,1.4153,0.00626,0.79,Increase recycled content in feedstock
Rare Earths,Primary - Bastnasite (China),2014,Kazakhstan,EV Motors,Coal Grid,Sea Freight,5360.2,43.1721,394.992,2.13,6.49,9753.13,0.1191,13.2,14.5,3,13.52,8.25,0.756,Remanufacturing,High,0.7368,Primary,Manufacturing,24.3401,18.832,Hybrid,Closed Loop,-43.91,30.0,1098,6.8,27,6.9934,No,0.1211,0.01817,2.229,0.06901,0.62,Switch to renewable energy grid
Lithium,Clay Mining,2011,Southeast Asia,Grid Storage,Natural Gas Grid,Combined (Road+Sea),5089.0,13.9027,112.375,4.68,5.69,4188.34,0.0183,36.15,11.3,3,22.38,15.87,0.587,Landfill,High,1.31293,Primary,Processing,9.6868,4.2159,Conventional,Linear,-73.78,8.0,953,308.1,35,6.589,No,0.01863,0.03658,0.6717,0.12777,0.92,Optimise production process efficiency
Zinc,Secondary - Recycled Scrap,2020,India,Batteries,Mixed Grid (EU),Combined (Road+Sea),5789.8,2.2727,18.541,79.43,47.39,96.59,0.0026,74.03,21.2,3,3.28,61.74,0.799,Landfill,Medium,1.38264,Secondary,Extraction,1.3768,0.8959,Hybrid,Linear,26.69,3.1,661,122.3,30,4.8523,Partial,0.00257,0.00153,2.1275,0.02736,0.65,Implement end-of-life collection and recycling programme
Titanium,Secondary - Aerospace Scrap,2010,China,Aerospace,Natural Gas Grid,Sea Freight,5354.6,4.3025,51.006,23.74,8.1,174.12,0.0087,22.7,17.3,2,10.6,18.24,0.86,Closed Loop Recycling,Medium,0.77334,Secondary,Manufacturing,2.6592,1.6433,Circular,Closed Loop,87.71,35,810,350.7,18,4.7331,Yes,0.01108,0.00437,1.8005,0.07334,0.89,Maintain current circular practices; explore renewable energy
Copper,Primary - Low Grade Ore,2021,Brazil,Heat Exchangers,Mixed Grid (Global Avg),Air Freight,4704.2,4.5225,72.467,70.32,9.36,258.67,0.0054,71.73,42.0,5,8.83,51.75,0.737,Closed Loop Recycling,Medium,0.59569,Primary,Use,3.0716,1.4509,Hybrid,Closed Loop,-41.33,3.2,1405,224.4,2,0.8091,No,0.00541,0.01224,1.6602,0.05542,0.8,Optimise production process efficiency
Steel,Blast Furnace - BOF (Coal),2022,Indonesia,Packaging,Hydro-dominated Grid,Rail,1764.1,1.1791,24.256,82.87,5.34,57.14,0.0021,80.27,35.8,4,0.56,57.15,0.588,Landfill,Low,0.39924,Primary,Manufacturing,0.7488,0.4303,Conventional,Linear,37.94,1.9,1527,165.7,45,3.8678,No,0.00194,0.00612,0.4823,0.01802,0.79,Increase recycled content in feedstock
Rare Earths,Primary - Ion Adsorption Clay,2020,Peru,EV Motors,Coal Grid,Air Freight,3254.9,24.9984,315.19,2.09,5.89,6740.28,0.1077,21.33,9.4,3,76.25,10.56,0.865,Reuse,High,0.28049,Primary,Processing,14.7068,10.2916,Hybrid,Closed Loop,16.67,30.0,1391,138.6,38,8.3016,Yes,0.1183,0.04903,2.0817,0.04451,0.71,Increase recycled content in feedstock
Germanium,Secondary - IR Optics Recycling,2011,Zambia,Solar Cells,Mixed Grid (China),Pipeline,134.6,99.7188,2121.362,32.24,10.4,1522.86,0.1548,25.21,17.1,2,1218.47,22.43,0.583,Closed Loop Recycling,High,0.01223,Secondary,Manufacturing,55.1275,44.5913,Circular,Closed Loop,92.21,1280,746,63.7,3,8.282,Yes,0.14645,0.04721,1.595,0.11294,0.6,Reduce material losses in processing
Nickel,Primary - Laterite (HPAL),2016,Global Average,Electroplating,Nuclear Grid,Rail,1000.4,4.0341,170.628,67.09,4.07,550.54,0.0245,72.87,29.2,2,18.4,47.66,0.685,Open Loop Recycling,Medium,0.13537,Primary,Extraction,2.6819,1.3522,Conventional,Open Loop,68.97,13.0,1361,239.6,22,1.5834,No,0.02269,0.0431,0.2861,0.00989,0.77,Increase recycled content in feedstock
Lithium,Hard Rock Mining (Spodumene),2024,Zambia,Grid Storage,Hydro-dominated Grid,Road,479.7,2.3984,103.618,1.34,5.83,2042.51,0.0136,24.98,12.0,3,44.74,11.38,0.881,Urban Mining,Medium,0.08857,Primary,End-of-Life,1.6211,0.7773,Conventional,Open Loop,70.02,8.0,509,76.3,37,8.0686,No,0.01764,0.00601,1.9113,0.09099,0.91,Increase recycled content in feedstock
Copper,Primary - Sulphide Ore,2022,Australia,EV Motors,Renewable Grid,Air Freight,717.2,0.5143,49.297,67.83,0.87,343.04,0.0025,72.3,26.9,3,9.71,47.85,0.821,Urban Mining,Low,0.07983,Primary,Processing,0.3627,0.1516,Conventional,Open Loop,83.93,3.2,1179,225.5,29,2.5416,Yes,0.00324,0.01534,1.5529,0.09148,0.88,Increase recycled content in feedstock
Platinum,Secondary - Industrial Recycling,2024,Philippines,Catalysts (Auto),Coal Grid,Combined (Road+Sea),5821.6,1572.0684,14151.756,69.82,30.62,3741.14,0.6975,71.75,36.5,5,29929.22,55.84,0.753,Landfill,Very High,0.90118,Secondary,Processing,1061.3081,510.7603,Hybrid,Linear,87.62,12700,470,330.4,11,2.0541,Yes,0.58418,0.00023,1.1268,0.08911,0.68,Implement end-of-life collection and recycling programme
